Text,Sentiment
olmamış.... yönetmen değişik birşeyler yapayım derken batırmış.. keşke başka bir yönetmen çekseydi... film çok sıkıcı.. bunun en büyük nedenide müzikler...,N
kahramanlar çok şekerdi ben bu filmi ingilizce dersinde izlemiştm we büyük zewk almıştm eğlenceli morali bozuk olanlara tavsiye ederm,P
SAVAŞ ARİFESİNDE BÖYLE Bİ FİLMİ İZLEYENLERİ FAZLASIYLA ŞANSLI GÖRÜYORUM EN AZINDAN BİZ İZLEYENLER İNSANLARIN BU FİLMİ İZLEMELERİNİ SAĞLAYARAK SAVAŞA(HALİYLEN ABD YE) KARŞI ÇIKMALARINI SAĞLAYABİLİRİZ...BİREYSEL SİLAHLANMAYA VE SAVAŞA HAYIR...,P
Baştan sona mükemmel bi senaryo ve müthiş 2 oyuncu bu filmi nasıl senelerdir izlememişim şaşırıyorum.. alttaki arkadaş filmi gerçekten izledimi ya da izlediyse neresiyle izledi onu merak ediyorum,P
Bence Çok Harika Ve Manyak Bir Film Eddie Murphy Beni Güldürmekten Öldürdü 10/10,P
"korku filmi sevenler için vakit kaybı bence.Bitirmek için zor dayandım.Çığlık ve testere sesi var sadece,konu yok senaryo yok.Tek olumlu yani gerçek hikaye olması.",N
bence çok uyduruk bi film olmuş.profösör rolündeki adamın palyaçodan farkı yok.film bişeyler anlatıyor ama çocuk filmi gibi hatta çizgifilm gibi olmuş.ben hiç beğenmedim daha gerçekçi yapılabilirdi...,N
Andy ve Redin dostluğu paha biçilemezzzz,P
eğlenceli bir komedi.gülmek istediğiniz bir vakit izleyebilirsiniz.,P
"sanrm boştu, izleyene bir şey katmıyo. bununla birlikte hikayeler birbirine bağlanmayınca çok hawada kalıyo. ilgi dağılıyo. can sıkınıtısı yaratıyo.",N
